,Condition,Feedback,close_percentage,FilterDescription
0,Relax,True,56.2,Witkowski et al.
1,Relax,True,53.8,Witkowski et al.
2,Relax,True,53.8,Witkowski et al.
3,Relax,True,46.6,Witkowski et al.
4,Relax,True,46.4,Witkowski et al.
5,Relax,True,46.2,Witkowski et al.
6,Relax,True,45.6,Witkowski et al.
7,Relax,True,45.2,Witkowski et al.
8,Relax,True,45.1,Witkowski et al.
9,Relax,True,44.0,Witkowski et al.
10,Relax,True,43.6,Witkowski et al.
11,Relax,True,42.1,Witkowski et al.
12,Relax,True,40.3,Witkowski et al.
13,Relax,True,38.2,Witkowski et al.
14,Relax,True,38.0,Witkowski et al.
15,Relax,True,36.1,Witkowski et al.
16,Relax,True,34.6,Witkowski et al.
17,Relax,True,31.3,Witkowski et al.
18,Relax,True,31.3,Witkowski et al.
19,Relax,True,30.5,Witkowski et al.
20,Relax,True,28.2,Witkowski et al.
21,Relax,True,27.9,Witkowski et al.
22,Relax,True,25.2,Witkowski et al.
23,Relax,True,24.9,Witkowski et al.
24,Relax,True,24.8,Witkowski et al.
25,Relax,True,24.8,Witkowski et al.
26,Relax,True,21.7,Witkowski et al.
27,Relax,True,21.2,Witkowski et al.
28,Relax,True,19.5,Witkowski et al.
29,Relax,True,17.8,Witkowski et al.
30,Close,True,82.3,Witkowski et al.
31,Close,True,82.3,Witkowski et al.
32,Close,True,80.7,Witkowski et al.
33,Close,True,79.1,Witkowski et al.
34,Close,True,77.5,Witkowski et al.
35,Close,True,75.7,Witkowski et al.
36,Close,True,74.7,Witkowski et al.
37,Close,True,73.3,Witkowski et al.
38,Close,True,70.0,Witkowski et al.
39,Close,True,68.2,Witkowski et al.
40,Close,True,67.4,Witkowski et al.
41,Close,True,64.4,Witkowski et al.
42,Close,True,64.4,Witkowski et al.
43,Close,True,63.0,Witkowski et al.
44,Close,True,62.7,Witkowski et al.
45,Close,True,62.6,Witkowski et al.
46,Close,True,61.7,Witkowski et al.
47,Close,True,61.5,Witkowski et al.
48,Close,True,61.0,Witkowski et al.
49,Close,True,60.2,Witkowski et al.
50,Close,True,57.3,Witkowski et al.
51,Close,True,57.3,Witkowski et al.
52,Close,True,56.7,Witkowski et al.
53,Close,True,55.5,Witkowski et al.
54,Close,True,52.8,Witkowski et al.
55,Close,True,51.0,Witkowski et al.
56,Close,True,49.3,Witkowski et al.
57,Close,True,47.2,Witkowski et al.
58,Close,True,46.8,Witkowski et al.
59,Close,True,41.8,Witkowski et al.
